iter	Passed	Remaining
988	82041	912
989	82125	829
990	82199	746
991	82273	663
992	82352	580
993	82440	497
994	82521	414
995	82611	331
996	82701	248
997	82801	165
998	82880	82
999	82973	0
